,city,Temp_avg,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
366,Zurich,10,1,1,6,11,14,18,20,19,15,11,6,2
367,Belgrade,14,3,4,9,14,19,22,25,24,19,14,9,4
368,Amritsar,23,11,15,20,26,31,32,31,30,28,25,19,13
369,Joao Pessoa,28,29,29,29,28,27,26,26,26,27,28,28,29
370,Yiwu,,,,,,,,,,,,,
371,Basra,26,12,15,20,26,33,36,38,37,33,28,19,13
372,Taizhou Jiangsu,,,,,,,,,,,,,
373,Nouakchott,27,22,24,25,26,27,28,28,29,30,30,27,23
374,Queretaro,18,14,16,18,20,22,22,21,21,20,18,16,14
375,Taian Shandong,,,,,,,,,,,,,
376,Homs,19,8,10,14,18,23,27,30,30,27,22,15,9
377,Copenhagen,9,1,1,3,7,12,15,18,17,14,10,5,2
378,Konya,12,1,3,6,11,16,20,24,24,19,14,7,3
379,Bucaramanga,22,23,23,23,23,22,22,22,22,23,22,22,22
380,Dhanbad,27,19,22,27,31,32,31,29,29,29,27,23,19
381,Weihai,12,0,1,4,9,15,18,22,24,22,17,9,2
382,Dallas,,,,,,,,,,,,,
383,Ganzhou,,,,,,,,,,,,,
384,Adelaide,17,24,23,21,17,14,12,11,12,15,17,20,22
385,Hai Phong,,,,,,,,,,,,,
386,Mombasa,27,28,28,29,28,26,25,24,24,25,26,27,28
387,Taizhong,,,,,,,,,,,,,
388,Maceio,26,27,27,27,27,26,25,24,24,24,25,26,27
389,Cochabamba,18,19,19,19,18,16,14,14,16,18,20,20,20
390,Niamey,30,25,28,32,35,35,32,30,28,30,31,29,25
391,Suweon,,,,,,,,,,,,,
392,Samut Prakan,29,26,29,31,32,31,30,30,29,29,29,28,26
393,Joinville,18,22,22,21,19,16,15,14,16,16,18,20,21
394,Jiaxing,,,,,,,,,,,,,
395,Kaifeng,,,,,,,,,,,,,
396,Helsinki,6,-4,-4,-1,4,10,15,18,16,11,6,2,-2
397,Porto,15,10,11,13,14,16,18,20,20,19,17,13,11
398,Zhanjiang,24,15,18,20,24,27,29,29,28,28,25,22,17
399,Zunyi,,,,,,,,,,,,,
400,Rizhao,,,,,,,,,,,,,
401,Kisangani,26,26,28,28,27,26,26,25,25,25,25,26,25
402,Prague,9,-1,0,4,9,13,16,18,18,14,9,4,0
403,Dongying,,,,,,,,,,,,,
404,Qom,19,4,8,14,20,25,31,33,31,27,20,12,6
405,Mianyang Sichuan,,,,,,,,,,,,,
406,Nanchong,,,,,,,,,,,,,
407,Fushun Liaoning,9,-11,-6,1,10,17,22,25,24,18,10,0,-8
408,Antalya,19,10,11,13,16,21,26,29,29,26,21,16,12
409,Bareilly,25,14,19,24,30,32,33,30,30,29,26,22,17
410,Sofia,11,0,2,6,11,16,19,22,22,17,12,6,1
411,Shiyan,,,,,,,,,,,,,
412,Kazan,5,-11,-10,-4,6,14,18,20,18,12,5,-3,-8
413,Ad-Dammam,,,,,,,,,,,,,
414,Port Elizabeth,18,22,22,21,19,17,15,14,15,16,17,19,20
415,Ahvaz,27,13,16,21,26,33,37,39,38,34,28,20,14
416,Liuan,,,,,,,,,,,,,
417,Florianopolis,21,25,26,25,23,20,18,17,18,19,21,22,24
418,Nizhniy Novgorod,3,-14,-13,-5,4,13,17,19,17,11,3,-3,-10
419,Pointe-Noire,,,,,,,,,,,,,
420,Yingkou,,,,,,,,,,,,,
421,Fes,17,10,11,13,15,19,23,26,26,23,19,14,11
422,Aligarh,26,14,19,24,30,34,34,31,30,30,27,21,16
423,Liuyang,,,,,,,,,,,,,
424,Dublin,10,6,5,7,8,11,13,15,15,13,10,8,6
425,Maoming,,,,,,,,,,,,,
426,Tanger,18,13,13,15,16,19,22,24,24,23,20,16,14
