city,AQI,dominant pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
Munich,52,PM2.5,1,2,12,15,265,8,16,0,0,0
Guigang,121,PM2.5,11,2,42,52,206,20,2,12,0,0
Gaoxiong,145,PM2.5,8,2,57,93,617,37,4,26,0,0
Harare,145,PM2.5,0,0,0,0,0,0,0,0,0,0
Bengbu,162,PM2.5,1,4,82,145,873,29,0,0,0,0
Anyang,146,PM2.5,1,3,55,134,1681,26,0,0,0,0
Columbus,56,PM2.5,22,0,16,37,200,17,0,0,0,0
Kananga,63,PM2.5,16,1,24,34,76,18,0,0,0,0
Villahermosa,61,PM2.5,19,3,15,25,155,13,0,0,0,0
Gwangju,80,PM2.5,26,3,23,42,707,22,0,0,0,0
Yangjiang,29,O3,33,2,6,12,182,6,1,10,0,0
Suqian,212,PM2.5,1,5,159,159,1037,48,0,0,0,0
Charlotte,47,PM2.5,42,0,11,37,205,17,0,3,0,0
Jining Shandong,95,PM2.5,31,1,37,61,257,39,1,13,0,0
Ulsan,48,PM2.5,46,1,12,34,387,12,0,4,0,0
Medina,79,PM2.5,7,9,23,48,203,43,0,0,0,0
Yekaterinburg,57,PM2.5,29,2,15,39,134,23,0,0,0,0
Abu Dhabi,68,PM2.5,57,1,18,70,116,12,0,0,0,0
Oran,31,PM2.5,20,1,7,16,314,14,3,21,0,0
Jodhpur,207,PM10,6,6,126,321,1148,35,111,144,14,0
West Rand,67,PM2.5,15,3,7,12,422,8,3,12,0,0
Grande Sao Luis,33,PM2.5,37,0,7,11,115,1,0,0,0,0
Edmonton,51,PM2.5,6,1,12,27,402,33,11,27,0,0
Natal,67,PM2.5,18,0,23,50,116,13,0,0,0,0
Campo Grande,31,PM2.5,15,0,8,12,198,8,0,0,0,0
Liverpool,65,PM2.5,24,0,18,24,125,22,7,16,0,0
